Latitude,Longitude,LWE
-23.50,17.50,0.00165,2008-07-16
-23.50,18.50,-0.00083,2008-07-16
-23.50,19.50,-0.00276,2008-07-16
-23.50,20.50,-0.00422,2008-07-16
-23.50,21.50,-0.00536,2008-07-16
-23.50,22.50,-0.00625,2008-07-16
-23.50,23.50,-0.00695,2008-07-16
-23.50,24.50,-0.00755,2008-07-16
-23.50,25.50,-0.00816,2008-07-16
-23.50,26.50,-0.00888,2008-07-16
-23.50,27.50,-0.00967,2008-07-16
-23.50,28.50,-0.01034,2008-07-16
-23.50,29.50,-0.01059,2008-07-16
-23.50,30.50,-0.01024,2008-07-16
-23.50,31.50,-0.00931,2008-07-16
-23.50,32.50,-0.00807,2008-07-16
-23.50,33.50,-0.00687,2008-07-16
-23.50,34.50,-0.00592,2008-07-16
-23.50,35.50,-0.00511,2008-07-16
-23.50,36.50,-0.00410,2008-07-16
-23.50,37.50,--,2008-07-16
-22.50,17.50,0.00057,2008-07-16
-22.50,18.50,-0.00189,2008-07-16
-22.50,19.50,-0.00409,2008-07-16
-22.50,20.50,-0.00608,2008-07-16
-22.50,21.50,-0.00786,2008-07-16
-22.50,22.50,-0.00930,2008-07-16
-22.50,23.50,-0.01028,2008-07-16
-22.50,24.50,-0.01084,2008-07-16
-22.50,25.50,-0.01117,2008-07-16
-22.50,26.50,-0.01154,2008-07-16
-22.50,27.50,-0.01210,2008-07-16
-22.50,28.50,-0.01272,2008-07-16
-22.50,29.50,-0.01306,2008-07-16
-22.50,30.50,-0.01277,2008-07-16
-22.50,31.50,-0.01176,2008-07-16
-22.50,32.50,-0.01025,2008-07-16
-22.50,33.50,-0.00867,2008-07-16
-22.50,34.50,-0.00735,2008-07-16
-22.50,35.50,-0.00627,2008-07-16
-22.50,36.50,-0.00508,2008-07-16
-22.50,37.50,--,2008-07-16
