Latitude,Longitude,LWE_Data,Date
-27.50,17.50,-0.00974,20020816
-27.50,18.50,-0.00645,20020816
-27.50,19.50,-0.00272,20020816
-27.50,20.50,0.00103,20020816
-27.50,21.50,0.00438,20020816
-27.50,22.50,0.00704,20020816
-27.50,23.50,0.00884,20020816
-27.50,24.50,0.00981,20020816
-27.50,25.50,0.01000,20020816
-27.50,26.50,0.00950,20020816
-27.50,27.50,0.00836,20020816
-27.50,28.50,0.00668,20020816
-27.50,29.50,0.00465,20020816
-27.50,30.50,0.00256,20020816
-27.50,31.50,0.00080,20020816
-27.50,32.50,-0.00027,20020816
-27.50,33.50,-0.00050,20020816
-27.50,34.50,-0.00001,20020816
-27.50,35.50,0.00078,20020816
-26.50,17.50,-0.01226,20020816
-26.50,18.50,-0.00942,20020816
-26.50,19.50,-0.00634,20020816
-26.50,20.50,-0.00351,20020816
-26.50,21.50,-0.00115,20020816
-26.50,22.50,0.00082,20020816
-26.50,23.50,0.00262,20020816
-26.50,24.50,0.00440,20020816
-26.50,25.50,0.00602,20020816
-26.50,26.50,0.00717,20020816
-26.50,27.50,0.00748,20020816
-26.50,28.50,0.00682,20020816
-26.50,29.50,0.00544,20020816
-26.50,30.50,0.00386,20020816
-26.50,31.50,0.00268,20020816
-26.50,32.50,0.00227,20020816
-26.50,33.50,0.00264,20020816
-26.50,34.50,0.00342,20020816
-26.50,35.50,0.00403,20020816
-26.50,36.50,0.00400,20020816
-25.50,17.50,-0.01319,20020816
-25.50,18.50,-0.01119,20020816
-25.50,19.50,-0.00937,20020816
-25.50,20.50,-0.00821,20020816
-25.50,21.50,-0.00763,20020816
-25.50,22.50,-0.00709,20020816
-25.50,23.50,-0.00592,20020816
-25.50,24.50,-0.00378,20020816
-25.50,25.50,-0.00094,20020816
-25.50,26.50,0.00189,20020816
-25.50,27.50,0.00395,20020816
-25.50,28.50,0.00488,20020816
-25.50,29.50,0.00489,20020816
-25.50,30.50,0.00460,20020816
-25.50,31.50,0.00463,20020816
-25.50,32.50,0.00524,20020816
-25.50,33.50,0.00618,20020816
-25.50,34.50,0.00688,20020816
-25.50,35.50,0.00677,20020816
-25.50,36.50,0.00561,20020816
-24.50,17.50,-0.01483,20020816
-24.50,18.50,-0.01337,20020816
-24.50,19.50,-0.01262,20020816
-24.50,20.50,-0.01306,20020816
-24.50,21.50,-0.01437,20020816
-24.50,22.50,-0.01557,20020816
-24.50,23.50,-0.01556,20020816
-24.50,24.50,-0.01374,20020816
-24.50,25.50,-0.01031,20020816
-24.50,26.50,-0.00615,20020816
-24.50,27.50,-0.00224,20020816
-24.50,28.50,0.00087,20020816
-24.50,29.50,0.00324,20020816
-24.50,30.50,0.00534,20020816
-24.50,31.50,0.00753,20020816
-24.50,32.50,0.00970,20020816
-24.50,33.50,0.01128,20020816
-24.50,34.50,0.01153,20020816
-24.50,35.50,0.01007,20020816
-24.50,36.50,0.00712,20020816
-23.50,17.50,-0.01901,20020816
-23.50,18.50,-0.01747,20020816
-23.50,19.50,-0.01703,20020816
-23.50,20.50,-0.01824,20020816
-23.50,21.50,-0.02072,20020816
-23.50,22.50,-0.02329,20020816
-23.50,23.50,-0.02451,20020816
-23.50,24.50,-0.02348,20020816
-23.50,25.50,-0.02017,20020816
-23.50,26.50,-0.01531,20020816
-23.50,27.50,-0.00984,20020816
-23.50,28.50,-0.00440,20020816
-23.50,29.50,0.00086,20020816
-23.50,30.50,0.00602,20020816
-23.50,31.50,0.01093,20020816
-23.50,32.50,0.01496,20020816
-23.50,33.50,0.01714,20020816
-23.50,34.50,0.01668,20020816
-23.50,35.50,0.01350,20020816
-23.50,36.50,0.00845,20020816
-22.50,17.50,-0.02623,20020816
-22.50,18.50,-0.02436,20020816
-22.50,19.50,-0.02359,20020816
-22.50,20.50,-0.02460,20020816
-22.50,21.50,-0.02711,20020816
-22.50,22.50,-0.02999,20020816
-22.50,23.50,-0.03182,20020816
-22.50,24.50,-0.03149,20020816
-22.50,25.50,-0.02868,20020816
-22.50,26.50,-0.02375,20020816
-22.50,27.50,-0.01737,20020816
-22.50,28.50,-0.01011,20020816
-22.50,29.50,-0.00236,20020816
-22.50,30.50,0.00550,20020816
-22.50,31.50,0.01275,20020816
-22.50,32.50,0.01827,20020816
-22.50,33.50,0.02080,20020816
-22.50,34.50,0.01962,20020816
-22.50,35.50,0.01500,20020816
