Coordinate,2018-06-16,2018-07-10,2018-10-31,2018-11-16,2018-12-16,2019-01-16,2019-02-14,2019-03-16,2019-04-16,2019-05-16,2019-06-16,2019-07-16,2019-08-16,2019-09-16,2019-10-16,2019-11-16,2019-12-16
"(-33.5, 17.5)",-0.00046,0.01260,0.05746,0.03211,0.01988,0.01151,0.00053,-0.00914,0.00128,0.00317,0.01636,0.04220,0.03993,0.04081,0.04375,0.03557,0.00898
"(-33.5, 18.5)",-0.00122,0.01241,0.05333,0.02532,0.01593,0.00511,-0.00384,-0.01079,-0.00054,-0.00125,0.01552,0.03706,0.03543,0.03848,0.03510,0.02951,0.00271
"(-33.5, 19.5)",-0.00109,0.01179,0.04712,0.01744,0.01079,-0.00139,-0.00801,-0.01177,-0.00088,-0.00606,0.01442,0.03091,0.02931,0.03445,0.02387,0.02184,-0.00331
"(-33.5, 20.5)",-0.00009,0.01085,0.03939,0.00916,0.00493,-0.00715,-0.01175,-0.01218,0.00031,-0.01076,0.01262,0.02437,0.02182,0.02915,0.01127,0.01345,-0.00862
"(-33.5, 21.5)",0.00166,0.00994,0.03105,0.00134,-0.00099,-0.01142,-0.01475,-0.01209,0.00278,-0.01467,0.00999,0.01819,0.01356,0.02317,-0.00116,0.00541,-0.01270
"(-33.5, 22.5)",0.00400,0.00960,0.02319,-0.00512,-0.00619,-0.01368,-0.01669,-0.01150,0.00601,-0.01710,0.00685,0.01308,0.00535,0.01721,-0.01179,-0.00130,-0.01503
"(-33.5, 23.5)",0.00669,0.01035,0.01683,-0.00956,-0.00992,-0.01375,-0.01737,-0.01036,0.00938,-0.01747,0.00392,0.00977,-0.00178,0.01210,-0.01916,-0.00590,-0.01518
"(-33.5, 24.5)",0.00941,0.01260,0.01274,-0.01168,-0.01158,-0.01178,-0.01678,-0.00867,0.01237,-0.01547,0.00218,0.00888,-0.00677,0.00868,-0.02221,-0.00796,-0.01292
"(-33.5, 25.5)",0.01177,0.01655,0.01121,-0.01165,-0.01090,-0.00812,-0.01514,-0.00647,0.01469,-0.01113,0.00253,0.01084,-0.00863,0.00765,-0.02047,-0.00735,-0.00836
"(-33.5, 26.5)",0.01343,0.02211,0.01204,-0.01005,-0.00802,-0.00324,-0.01286,-0.00386,0.01625,-0.00482,0.00544,0.01566,-0.00673,0.00934,-0.01418,-0.00427,-0.00203
"(-33.5, 27.5)",0.01416,0.02897,0.01452,-0.00773,-0.00358,0.00234,-0.01041,-0.00088,0.01716,0.00277,0.01078,0.02285,-0.00092,0.01346,-0.00433,0.00073,0.00520
"(-33.5, 28.5)",0.01390,0.03655,0.01760,-0.00562,0.00149,0.00811,-0.00823,0.00249,0.01762,0.01079,0.01781,0.03132,0.00834,0.01910,0.00748,0.00679,0.01228
"(-33.5, 29.5)",0.01273,0.04411,0.02013,-0.00443,0.00611,0.01358,-0.00654,0.00633,0.01778,0.01832,0.02543,0.03969,0.02000,0.02493,0.01931,0.01281,0.01819
"(-33.5, 30.5)",0.01091,0.05083,0.02110,-0.00453,0.00936,0.01830,-0.00536,0.01078,0.01773,0.02455,0.03242,0.04652,0.03260,0.02953,0.02933,0.01769,0.02224
"(-33.5, 31.5)",0.00877,0.05602,0.01997,-0.00580,0.01074,0.02194,-0.00449,0.01592,0.01749,0.02894,0.03779,0.05076,0.04459,0.03182,0.03618,0.02059,0.02423
"(-32.5, 17.5)",-0.00168,0.01380,0.04614,0.02629,0.01715,0.00501,-0.00206,-0.01106,0.00031,-0.00157,0.00865,0.03535,0.03540,0.03481,0.03684,0.02731,0.00590
"(-32.5, 18.5)",-0.00162,0.01430,0.04078,0.01949,0.01175,-0.00051,-0.00629,-0.01367,-0.00203,-0.00630,0.00664,0.02973,0.02922,0.03148,0.02811,0.02190,-0.00092
"(-32.5, 19.5)",-0.00076,0.01413,0.03368,0.01166,0.00523,-0.00637,-0.01049,-0.01550,-0.00306,-0.01123,0.00464,0.02282,0.02153,0.02612,0.01658,0.01429,-0.00775
"(-32.5, 20.5)",0.00077,0.01317,0.02550,0.00339,-0.00196,-0.01196,-0.01452,-0.01662,-0.00266,-0.01589,0.00223,0.01530,0.01272,0.01926,0.00340,0.00518,-0.01417
"(-32.5, 21.5)",0.00283,0.01168,0.01717,-0.00455,-0.00913,-0.01665,-0.01811,-0.01706,-0.00107,-0.01966,-0.00080,0.00802,0.00340,0.01154,-0.00990,-0.00439,-0.01967
"(-32.5, 22.5)",0.00529,0.01024,0.00969,-0.01137,-0.01551,-0.01996,-0.02091,-0.01681,0.00120,-0.02193,-0.00420,0.00186,-0.00559,0.00374,-0.02173,-0.01329,-0.02367
"(-32.5, 23.5)",0.00796,0.00953,0.00399,-0.01640,-0.02032,-0.02163,-0.02264,-0.01587,0.00360,-0.02218,-0.00727,-0.00231,-0.01330,-0.00321,-0.03059,-0.02043,-0.02562
"(-32.5, 24.5)",0.01060,0.01023,0.00071,-0.01928,-0.02291,-0.02156,-0.02315,-0.01427,0.00570,-0.02014,-0.00910,-0.00370,-0.01870,-0.00831,-0.03530,-0.02491,-0.02515
"(-32.5, 25.5)",0.01289,0.01276,0.00006,-0.02004,-0.02291,-0.01981,-0.02247,-0.01209,0.00731,-0.01581,-0.00881,-0.00178,-0.02081,-0.01066,-0.03519,-0.02615,-0.02212
"(-32.5, 26.5)",0.01452,0.01725,0.00179,-0.01906,-0.02035,-0.01649,-0.02083,-0.00941,0.00850,-0.00952,-0.00589,0.00354,-0.01895,-0.00973,-0.03021,-0.02396,-0.01680
"(-32.5, 27.5)",0.01528,0.02347,0.00519,-0.01699,-0.01573,-0.01179,-0.01852,-0.00622,0.00947,-0.00187,-0.00040,0.01172,-0.01291,-0.00562,-0.02106,-0.01866,-0.00984
"(-32.5, 28.5)",0.01515,0.03089,0.00921,-0.01459,-0.00992,-0.00601,-0.01586,-0.00241,0.01044,0.00636,0.00708,0.02161,-0.00312,0.00089,-0.00913,-0.01113,-0.00215
"(-32.5, 29.5)",0.01427,0.03869,0.01272,-0.01250,-0.00401,0.00038,-0.01309,0.00219,0.01150,0.01426,0.01553,0.03166,0.00942,0.00845,0.00369,-0.00276,0.00533
"(-32.5, 30.5)",0.01290,0.04595,0.01475,-0.01111,0.00102,0.00679,-0.01035,0.00774,0.01256,0.02099,0.02383,0.04027,0.02320,0.01555,0.01544,0.00490,0.01181
"(-32.5, 31.5)",0.01136,0.05178,0.01470,-0.01050,0.00445,0.01264,-0.00763,0.01424,0.01345,0.02588,0.03094,0.04622,0.03660,0.02088,0.02448,0.01048,0.01688
"(-31.5, 17.5)",-0.00120,0.01717,0.03583,0.02025,0.01404,0.00015,-0.00272,-0.01107,0.00102,-0.00439,0.00362,0.02879,0.03076,0.03080,0.03131,0.01859,0.00391
"(-31.5, 18.5)",0.00018,0.01870,0.02931,0.01353,0.00758,-0.00459,-0.00672,-0.01436,-0.00147,-0.00877,0.00062,0.02282,0.02334,0.02670,0.02277,0.01393,-0.00271
"(-31.5, 19.5)",0.00221,0.01931,0.02152,0.00612,0.00026,-0.00980,-0.01091,-0.01694,-0.00297,-0.01312,-0.00200,0.01559,0.01485,0.02059,0.01141,0.00693,-0.00950
"(-31.5, 20.5)",0.00454,0.01861,0.01316,-0.00161,-0.00752,-0.01512,-0.01525,-0.01882,-0.00332,-0.01709,-0.00464,0.00774,0.00563,0.01292,-0.00172,-0.00197,-0.01623
"(-31.5, 21.5)",0.00688,0.01667,0.00507,-0.00913,-0.01521,-0.02017,-0.01953,-0.02000,-0.00268,-0.02022,-0.00751,0.00003,-0.00386,0.00422,-0.01527,-0.01199,-0.02252
"(-31.5, 22.5)",0.00909,0.01405,-0.00188,-0.01588,-0.02220,-0.02457,-0.02343,-0.02044,-0.00148,-0.02208,-0.01050,-0.00673,-0.01301,-0.00483,-0.02781,-0.02207,-0.02787
"(-31.5, 23.5)",0.01106,0.01158,-0.00699,-0.02134,-0.02787,-0.02801,-0.02659,-0.02017,-0.00017,-0.02230,-0.01316,-0.01167,-0.02106,-0.01334,-0.03797,-0.03103,-0.03172
"(-31.5, 24.5)",0.01269,0.01017,-0.00975,-0.02516,-0.03161,-0.03022,-0.02869,-0.01924,0.00092,-0.02067,-0.01484,-0.01397,-0.02708,-0.02023,-0.04460,-0.03773,-0.03349
"(-31.5, 25.5)",0.01386,0.01054,-0.01002,-0.02718,-0.03298,-0.03092,-0.02957,-0.01775,0.00171,-0.01717,-0.01487,-0.01300,-0.03008,-0.02444,-0.04683,-0.04118,-0.03280
"(-31.5, 26.5)",0.01445,0.01308,-0.00804,-0.02752,-0.03183,-0.02977,-0.02914,-0.01570,0.00237,-0.01196,-0.01279,-0.00848,-0.02925,-0.02518,-0.04429,-0.04074,-0.02951
"(-31.5, 27.5)",0.01444,0.01780,-0.00439,-0.02648,-0.02832,-0.02656,-0.02746,-0.01294,0.00319,-0.00543,-0.00852,-0.00076,-0.02414,-0.02224,-0.03721,-0.03634,-0.02389
"(-31.5, 28.5)",0.01398,0.02430,0.00004,-0.02445,-0.02301,-0.02128,-0.02465,-0.00918,0.00439,0.00185,-0.00229,0.00918,-0.01497,-0.01614,-0.02654,-0.02864,-0.01653
"(-31.5, 29.5)",0.01330,0.03185,0.00424,-0.02187,-0.01675,-0.01428,-0.02092,-0.00410,0.00599,0.00917,0.00531,0.01990,-0.00259,-0.00802,-0.01386,-0.01900,-0.00822
"(-31.5, 30.5)",0.01263,0.03946,0.00727,-0.01912,-0.01046,-0.00626,-0.01655,0.00250,0.00780,0.01570,0.01351,0.02979,0.01160,0.00064,-0.00110,-0.00923,0.00020
"(-31.5, 31.5)",0.01212,0.04607,0.00848,-0.01649,-0.00497,0.00187,-0.01181,0.01052,0.00948,0.02069,0.02142,0.03750,0.02591,0.00838,0.00994,-0.00114,0.00802
"(-31.5, 32.5)",0.01178,0.05076,0.00764,-0.01419,-0.00083,0.00925,-0.00691,0.01953,0.01066,0.02365,0.02821,0.04218,0.03871,0.01408,0.01799,0.00402,0.01475
